Species,NCBI Taxon ID
Rotavirus sp.,10970
Anativirus sp.,2809150
Aveparvovirus sp.,2715213
Caliciviridae sp.,1916234
Huchismacovirus sp.,2809473
Sicinivirus sp.,1930506
Orthoavulavirus koreaense,3051382
Metaavulavirus taiwanense,3051370
Strix uralensis herpesvirus,2489503
Aquila chrysaetos herpesvirus,2928392
Falco tinnunculus herpesvirus,2928397
Asio otus herpesvirus,2489501
Strix aluco herpesvirus,2928400
Larus argentatus herpesvirus,2928398
Corvus cornix herpesvirus,2928395
Corvus monedula herpesvirus,2928396
Chloris chloris herpesvirus,2928394
Passer domesticus herpesvirus,2928399
Turdus merula herpesvirus,2717891
Columba palumbus herpesvirus,2928402
Pheasant-associated gyrovirus,2926920
Little bittern circovirus,2922909
European bee-eater circovirus,2922908
Avian picobirnavirus,2919602
Psittacine chaphamaparvovirus 2,2917163
Falcon aviadenovirus A,692069
Morbillivirus canis,3052342
Ciconiid herpesvirus 1,2605648
Tern atadenovirus 1,2913659
Owl adenovirus,2853431
Ghabrivirales sp.,2809433
Partitiviridae sp.,1955170
Durnavirales sp.,2809355
Hedwig virus,2884278
Poicephalus senegalus papillomavirus,2876998
cormorant polyomavirus 1,2896467
robinz virus RP_259,2886397
robinz virus RP_493,2886398
robinz virus RP_526,2886399
robinz virus RP_584,2886400
robinz virus RP_620,2886401
robinz virus RP_736,2886402
robinz virus RP_954,2886403
robinz virus RP_1123,2886404
robinz virus RP_1124,2886405
robinz virus RP_1170,2886406
robinz virus RP_99,2886407
robinz virus RP_369,2886408
robinz virus RP_380,2886409
robinz virus RP_384,2886410
robinz virus RP_385,2886411
robinz virus RP_393,2886412
robinz virus RP_116,2886413
robinz virus RP_199,2886414
robinz virus RP_326,2886415
robinz virus RP_377,2886416
robinz virus RP_390,2886417
robinz virus RP_212,2886418
robinz virus RP_258,2886419
robinz virus RP_382,2886420
robinz virus RP_389,2886421
robinz virus RP_244,2886422
robinz virus RP_327,2886423
robinz virus RP_334,2886424
robinz virus RP_340,2886425
robinz virus RP_386,2886430
robinz virus RP_404,2886426
robinz virus RP_428,2886427
robinz virus RP_429,2886428
robinz virus RP_513,2886429
Orthoflavivirus saumarezense,3048314
Pin virus,2880959
Myna hepatovirus,2880957
Myna chaphamaparvovirus,2880956
Myna calicivirus,2880955
Myna siadenovirus,2880958
Myna aviadenovirus,2880954
Chicken proventriculitis-associated circular virus 7,2875666
Chicken proventriculitis-associated circular virus 8,2875667
Chicken proventriculitis-associated circular virus 9,2875668
Chicken proventriculitis-associated circular virus 10,2875663
Chicken proventriculitis-associated circular virus 11,2875664
Chicken proventriculitis-associated circular virus 12,2875665
egret CRESS-DNA virus,2878719
crane CRESS-DNA virus,2878718
finch CRESS-DNA virus,2878720
Passer montanus pegivirus,2824657
Leucosticte brandti pegivirus,2824655
Montifringilla taczanowskii pegivirus,2824656
Picobirnavirus sp.,1907787
Chicken proventriculitis-associated circular virus 1,2875658
Chicken proventriculitis-associated circular virus 2,2875659
Chicken proventriculitis-associated circular virus 3,2875660
Chicken proventriculitis-associated circular virus 4,2875661
Chicken proventriculitis-associated circular virus 5,2875662
Chicken proventriculitis-associated circular virus 14,2875669
Chicken proventriculitis-associated circular virus 15,2875670
Chicken proventriculitis-associated circular virus 16,2875671
Chicken proventriculitis-associated circular virus 18,2875673
Chicken proventriculitis-associated circular virus 20,2875675
Chicken proventriculitis-associated circular virus 22,2875677
Chicken proventriculitis-associated circular virus 23,2875678
Chicken proventriculitis-associated circular virus 24,2875679
Chicken proventriculitis-associated circular virus 27,2875681
Chicken proventriculitis-associated circular virus 17,2875672
Chicken proventriculitis-associated circular virus 19,2875674
Chicken proventriculitis-associated circular virus 21,2875676
Chicken proventriculitis-associated circular virus 26,2875680
Chicken proventriculitis-associated circular virus 28,2875682
Chicken proventriculitis-associated circular virus 29,2875683
Chicken proventriculitis-associated circular virus 30,2875684
Nodaviridae sp.,1955166
Chuviridae sp.,2809007
Totiviridae sp.,1955172
Reoviridae sp.,2585267
Luteoviridae sp.,1955165
Sapelovirus sp.,2809836
Tymoviridae sp. XZN137671,2836004
Tibet bird virus 2,2836149
Tibet bird virus 1,2836148
Guinea fowl picornavirus,2817032
Tern adenovirus,2820437
Coronavirus HKU15,1965089
Red-billed gull papillomavirus,2862952
Picobirnaviridae sp. gcode 3,2857096
Anser fabalis coronavirus NCN2,2860474
Avisivirus sp.,2809172
Bavovirus sp.,2809180
Shorebird deltacoronavirus,2776968
Cataraqui virus,2776967
Waterwitch virus,2776963
Whistler virus,2776964
Maypo virus,2776959
Neva virus,2776960
Netherby virus,2776965
Blencathra virus,2776961
Carnarvon virus,2776962
Duck coronavirus 2714,2734510
Loch Leven virus,2776924
British Admiral virus,2776966
Bruthen virus,2776920
Caudoviricetes sp.,2832643
Avulavirus sp.,2493083
Avian bornavirus,675389
Turdus naumanni parvoviridae sp.,2794525
Psittacidae parvoviridae sp.,2794536
Phylloscopus schwarzi parvoviridae sp.,2794533
Cecropis daurica parvoviridae sp.,2794470
Emberiza pusilla parvoviridae sp.,2794477
Ciconia boyciana parvoviridae sp.,2794472
Cyanopica cyanus parvoviridae sp.,2794473
Dendrocopos leucotos parvoviridae sp.,2794475
Emberiza chrysophrys parvoviridae sp.,2794476
Ficedula mugimaki parvoviridae sp.,2794480
Lophura nycthemera parvoviridae sp.,2794483
Luscinia cyane parvoviridae sp.,2794513
Luscinia sibilans parvoviridae sp.,2794516
Phoenicurus auroreus parvoviridae sp.,2794531
Phylloscopus fuscatus parvoviridae sp.,2794534
Phylloscopus inornatus parvoviridae sp.,2794539
Tarsiger cyanurus parvoviridae sp.,2794540
Emberiza spodocephala parvoviridae sp.,2794481
Lanius cristatus parvoviridae sp.,2794482
Emberiza tristrami Genomoviridae sp.,2814951
Fringilla montifringilla Genomoviridae sp.,2814960
Goose pegivirus 1,2830620
Goose pegivirus 2,2830621
Enquatrovirus sp.,2821802
Phoenicopteridae parvo-like hybrid virus,2794528
Pavo cristatus parvo-like hybrid virus,2794523
Grus japonensis parvoviridae sp.,2794512
Phylloscopus proregulus Ichthamaparvovirus,2794550
Phylloscopus fuscatus Ichthamaparvovirus,2794549
Emberiza pusilla parvo-like hybrid virus,2794510
Periparus ater parvoviridae sp.,2794527
Motacilla cinerea parvoviridae sp.,2794518
Periparus ater Ichthamaparvovirus,2794548
Grus japonensis parvo-like hybrid virus,2794511
Turdus pallidus parvoviridae sp.,2794526
Phoenicopteridae parvoviridae sp.,2794529
Turdus naumanni Ichthamaparvovirus,2794551
Emberiza rustica CRESS-DNA-virus sp.,2815032
Emberiza spodocephala CRESS-DNA-virus sp.,2815033
Fringilla montifringilla CRESS-DNA-virus sp.,2815044
Syrmaticus ellioti CRESS-DNA-virus sp.,2815058
Aegithalos caudatus CRESS-DNA-virus sp.,2815021
Emberiza elegans CRESS-DNA-virus sp.,2815031
Ficedula parva CRESS-DNA-virus sp.,2815036
Carpodacus sibiricus Genomoviridae sp.,2814940
Cecropis daurica Genomoviridae sp.,2814941
Tarsiger cyanurus Genomoviridae sp.,2814994
Phoenicopterus roseus parvo-like hybrid virus,2794530
Pavo cristatus parvoviridae sp.,2794524
Ficedula parva parvoviridae sp.,2794506
Emberiza rustica parvoviridae sp.,2794478
Aegithalos caudatus parvoviridae sp.,2794464
Ara ararauna Chaphamaparvovirus,2794484
Chrysolophuspictus parvoviridae sp.,2794471
Cygnus atratus Chaphamaparvovirus,2794485
Nandayus nenday parvoviridae sp.,2794519
Phylloscopus parvoviridae sp.,2794563
Psittacidae parvo-like hybrid virus,2794535
Psittacidae aveparvovirus,2794556
Fringilla montifringilla parvoviridae sp.,2794507
Cygnus columbianus parvoviridae sp.,2794474
Emberiza pusilla Chaphamaparvovirus,2794488
Dendrocopos leucotos Chaphamaparvovirus,2794487
Passer montanus parvoviridae sp.,2794522
Nandayus nenday Chaphamaparvovirus,2794493
Luscinia cyane Ichthamaparvovirus,2794553
Luscinia cyane Chaphamaparvovirus,2794491
Grus japonensis Chaphamaparvovirus,2794490
Fringilla montifringilla Chaphamaparvovirus,2794489
Cygnus columbianus parvo-like hybrid virus,2794509
Ara ararauna aveparvovirus,2794555
Turdus pallidus Chaphamaparvovirus,2794492
Turdus hortulorum parvoviridae sp.,2794538
Parus major parvoviridae sp.,2794521
Motacilla cinerea parvo-like hybrid virus,2794517
Lophura nycthemera aveparvovirus,2794554
Psittacidae Chaphamaparvovirus,2794494
Phylloscopus proregulus parvoviridae sp.,2794532
Syrmaticus ellioti parvo-like hybrid virus,2794537
Otus scops parvoviridae sp.,2794520
Garrulus glandarius parvoviridae sp.,2794508
Ara severa parvoviridae sp.,2794467
Accipiter gentilis parvoviridae sp.,2794463
Ara ararauna parvoviridae sp.,2794466
Carpodacus sibiricus parvoviridae sp.,2794469
Cygnus atratus parvoviridae sp.,2794505
Luscinia sibilans parvo-like hybrid virus,2794515
Accipiter gentilis parvo-like hybrid virus,2794564
Anser anser dependoparvovirus,2794569
Arundinax aedon parvoviridae sp.,2794465
Bonasa bonasia parvoviridae sp.,2794468
Ciconia boyciana parvo-like hybrid virus,2794504
Phylloscopus proregulus Brevihamaparvovirus,2794566
Cygnus columbianus Chaphamaparvovirus,2794486
Emberiza tristrami parvoviridae sp.,2794479
Ciconia boyciana Circoviridae sp.,2814997
Fringilla montifringilla Circoviridae sp.,2815000
Periparus ater Circoviridae sp.,2815004
Motacilla cinerea Circoviridae sp.,2815002
Anser anser CRESS-DNA-virus sp.,2815022
Ciconia boyciana CRESS-DNA-virus sp.,2815024
Cygnus atratus CRESS-DNA-virus sp.,2815026
Cygnus columbianus CRESS-DNA-virus sp.,2815027
Emberiza chrysophrys CRESS-DNA-virus sp.,2815029
Ficedula mugimaki CRESS-DNA-virus sp.,2815035
Grus japonensis CRESS-DNA-virus sp.,2815045
Luscinia calliope CRESS-DNA-virus sp.,2815039
Motacilla cinerea CRESS-DNA-virus sp.,2815043
Nandayus nenday CRESS-DNA-virus sp.,2815047
Pavo cristatus CRESS-DNA-virus sp.,2815049
Periparus ater CRESS-DNA-virus sp.,2815050
Phoenicopteridae CRESS-DNA-virus sp.,2815051
Phoenicurus auroreus CRESS-DNA-virus sp.,2815053
Phylloscopus tenellipes CRESS-DNA-virus sp.,2815055
Psittacidae CRESS-DNA-virus sp.,2815057
Syrmaticus reevesii CRESS-DNA-virus sp.,2815059
Tarsiger cyanurus CRESS-DNA-virus sp.,2815060
Tragopan caboti CRESS-DNA-virus sp.,2815061
Turdus hortulorum CRESS-DNA-virus sp.,2815062
Acanthis flammea CRESS-DNA-virus sp.,2815018
Cecropis daurica CRESS-DNA-virus sp.,2815023
Chrysolophus pictus CRESS-DNA-virus sp.,2815020
Cyanopica cyanus CRESS-DNA-virus sp.,2815025
Dendrocopos leucotos CRESS-DNA-virus sp.,2815028
Emberiza cioides CRESS-DNA-virus sp.,2815030
Emberiza tristrami CRESS-DNA-virus sp.,2815034
Grus monacha CRESS-DNA-virus sp.,2815037
Luscinia cyane CRESS-DNA-virus sp.,2815040
Luscinia sibilans CRESS-DNA-virus sp.,2815041
Muscicapa latirostris CRESS-DNA-virus sp.,2815046
Otus scops CRESS-DNA-virus sp.,2815048
Phoenicopterus roseus CRESS-DNA-virus sp.,2815052
Phylloscopus fuscatus CRESS-DNA-virus sp.,2815054
Prunella montanella CRESS-DNA-virus sp.,2815056
Turdus naumanni CRESS-DNA-virus sp.,2815063
Emberiza rustica Genomoviridae sp.,2814949
Emberiza spodocephala Genomoviridae sp.,2814950
Prunella montanella Genomoviridae sp.,2814991
Bobaya virus,2818228
Gull adenovirus,1306817
Aalivirus A,2169685
Foot-and-mouth disease virus,12110
Deltacoronavirus HNU1-1,2814911
Deltacoronavirus HNU1-2,2814912
Deltacoronavirus HNU3,2814913
Deltacoronavirus HNU2,2814914
Orthoflavivirus encephalitidis,3052465
Mudlarkpox virus,2811215
Penguinpox virus 2,2811223
Duck-associated chapparvovirus,2810801
French Guiana picornavirus,2803188
French Guiana reovirus,2803189
Orthobunyavirus bataiense,3052371
Pacific black duck aviadenovirus,2798287
Grey teal gyrovirus,2798291
Pacific black duck calicivirus,2798288
Pacific black duck astrovirus,2798286
Pacific black duck orthoreovirus,2798289
Chestnut teal astrovirus,2798290
Chaphamaparvovirus gyb-MR3/2015/HUN,2785213
Montifringilla taczanowskii coronavirus N,2794340
Middelburg virus,11023
Gyrovirus 9,2781379
Duck ssDNA virus,2781382
Avian gyrovirus 13,2781374
Gyrovirus VC5,2781380
Gyrovirus VC7,2781381
Duck associated circular virus VC9,2781378
Duck genomovirus VC16,2781375
Duck genomovirus VC17,2781376
Passerine adenovirus 1,2779174
Blue tit hepacivirus,2777463
Magpie hepacivirus,2777467
Pelican hepacivirus,2777469
Lonchura striata deltavirus,2766951
Mayaro virus,59301
Poecivirus sp.,2759496
Gyrovirus 6,2583050
Antarctic virus 6_I_APBOOTsw001Ad,2761208
Antarctic virus 6_I_APBOOTsw001Ch,2761209
Antarctic virus 1_I_CPGEORsw001Ad,2761173
Antarctic virus 1_I_CPGEORsw002Ad,2761174
Antarctic virus 1_II_CPGEORsw003Ad,2761171
Antarctic virus 1_II_CPGEORsw003Ch,2761172
Antarctic virus 3_I_CPHALFsw004Ad,2761187
Antarctic virus 3_II_CPHALFsw005Ad,2761185
Antarctic virus 3_V_CPHALFsw003Ad,2761188
Antarctic virus 2_I_GPYANKsw001Ad,2761175
Antarctic virus 2_I_GPYANKsw001Ch,2761176
Antarctic virus 2_I_GPYANKsw002Ad,2761177
Antarctic virus 2_I_GPYANKsw003Ad,2761178
Antarctic virus 2_I_GPYANKsw004Ad,2761179
Antarctic virus 3_III_KPSTAsw010Ad,2761180
Antarctic virus 3_III_KPSTAsw014Ch,2761181
Antarctic virus 3_IV_KPSTAsw015Ch,2761186
Antarctic virus 3_III_KPSTAsw016Ch,2761182
Antarctic virus 3_III_KPSTAsw018Ch,2761183
Antarctic virus 3_III_KPSTAsw019Ch,2761184
Antarctic virus 4_I_KPSTAsw001Ad,2761196
Antarctic virus 4_II_KPSTAsw004Ad,2761189
Antarctic virus 4_II_KPSTAsw014Ch,2761190
Antarctic virus 4_II_KPSTAsw015Ch,2761191
Antarctic virus 4_II_KPSTAsw016Ch,2761192
Antarctic virus 4_II_KPSTAsw017Ch,2761193
Antarctic virus 4_II_KPSTAsw018Ch,2761194
Antarctic virus 4_II_KPSTAsw019Ch,2761195
Antarctic virus 4_I_KPSTAsw002Ad,2761197
Antarctic virus 4_I_KPSTAsw008Ad,2761198
Antarctic virus 4_I_KPSTAsw009Ad,2761199
Antarctic virus 4_I_KPSTAsw010Ad,2761200
Antarctic virus 5_I_KPSTAsw001Ad,2761201
Antarctic virus 5_I_KPSTAsw002Ad,2761202
Antarctic virus 5_I_KPSTAsw004Ad,2761203
Antarctic virus 5_I_KPSTAsw008Ad,2761204
Antarctic virus 5_I_KPSTAsw009Ad,2761205
Antarctic virus 5_I_KPSTAsw018Ch,2761206
Antarctic virus 5_I_KPSTAsw020Ch,2761207
Pacific black duck adeno-associated virus,2759417
Pacific black duck chaphamaparvovirus 1,2759407
Pacific black duck chaphamaparvovirus,2759406
Pacific black duck aveparvovirus,2759420
Chestnut teal chaphamaparvovirus 1,2759403
Chestnut teal chaphamaparvovirus 2,2759404
Chestnut teal chaphamaparvovirus 3,2759405
Chestnut teal chaphamaparvovirus,2759402
Wood duck chaphamaparvovirus,2759604
Grey teal chaphamaparvovirus,2759408
Chestnut teal aalivirus,2759411
Chestnut teal megrivirus,2759413
Chestnut teal sicinivirus-like virus,2759416
Pacific black duck sicinivirus-like virus,2759415
Pacific black duck aalivirus,2759412
Pacific black duck anativirus-like virus,2759419
Pacific black duck megrivirus,2592492
Wood duck megrivirus,2759414
Adenoviridae sp.,2558248
Retroviridae sp.,2681591
Duck hepacivirus,2590836
Avipoxvirus 1130,2744857
Owl adenovirus Aichi10341,2728828
Chicken circovirus 2,2735304
Chicken circovirus 3,2735305
Psittacine siadenovirus 1,2737672
Onychoprion fuscatus alphaherpesvirus 1,2737701
Corvid orthoreovirus,2737667
Chatham orthoreovirus,2737666
Psittacid herpesvirus 3,240876
Avipoxvirus Japanese cormorant/Yamanashi/2017,2734904
Avipoxvirus Japanese cormorant/Yamanashi/2019,2734905
Circoviridae sp.,1954248
Hepeviridae sp.,2715178
Weivirus-like virus sp.,2715103
Parvovirus NIH-CQV,1341019
Chapparvovirus sp.,2448649
Phlebovirus toscanaense,3052686
Gentoo penguin virus,2707191
Shackleton virus,2707265
Amundsen virus,2707192
Wendell virus,2707281
Oates virus,2707247
Scott virus,2707261
Ross virus,2707258
Shirase virus,2707267
Mawson virus,2707241
Wilkes virus,2707282
Hilary virus,2707225
Schouten virus,2707260
Gerritsz virus,2707222
Tyabin virus,2707276
Driatsky virus,2707213
Mott virus,2707244
Somov virus,2707269
Rymill virus,2707259
Ellsworth virus,2707217
Nordenskjold virus,2707245
Smith virus,2707268
Halley virus,2707223
Vespucci virus,2707279
Kagge virus,2707226
Raina virus,2707255
Stroud virus,2707270
Petrov virus,2707251
Maksutov virus,2707239
Dubrovin virus,2707215
Treshnikov virus,2707274
Luncke virus,2707236
Dralkin virus,2707212
Tolstikov virus,2707273
Tarbeyev virus,2707271
Serdyukov virus,2707264
Kornilov virus,2707229
Sedov virus,2707262
Fuchs virus,2707220
Bruce virus,2707201
Balleny virus,2707195
Ptolmey virus,2707254
Ui-te-Rangiora virus,2707277
de Kerguelen virus,2707286
Magellan virus,2707238
Coelho virus,2707206
Palmer virus,2707250
Shelvocke virus,2707266
Artemyev virus,2707193
Korotkevich virus,2707230
Lawrence virus,2707234
Krenkel virus,2707231
Averyanov virus,2707194
Khabarov virus,2707228
Bardin virus,2707196
Ketchum virus,2707227
Mella virus,2707242
Cope virus,2707209
Cooper virus,2707208
Tunzelmann virus,2707275
O'Leary virus,2707246
Marr virus,2707240
Halvorsen virus,2707224
Charcot virus,2707204
Biscoe virus,2707198
le Maire virus,2707290
la Roche virus,2707289
d'Urville virus,2707283
de Lozier virus,2707287
Varley virus,2707278
Telmo virus,2707272
Cook virus,2707207
Davis virus,2707210
Bransfield virus,2707200
Bellingshausen virus,2707197
Senko virus,2707263
Riiser virus,2707256
Christensen virus,2707205
Ousland virus,2707249
Dryglaski virus,2707214
Larsen virus,2707233
Borchgrevink virus,2707199
de Gerlache virus,2707285
Kyst virus,2707232
Byrd virus,2707203
Filchner virus,2707219
Dundee virus,2707216
Powell virus,2707253
Lazarev virus,2707235
de Castilla virus,2707284
de Nodal virus,2707288
Drake virus,2707211
Ostrekin virus,2707248
Chicken virus mg4_280,2720902
Chicken virus mg4_657,2720903
Chicken virus mg4_1578,2720900
Chicken virus mg4_2302,2720901
Chicken virus mg5_2197,2720905
Chicken virus mg5_2676,2720906
Chicken virus mg6_2056,2720909
Chicken virus mg8_273,2720912
Chicken virus mg7_41u,2720910
Chicken virus mg5_1345,2720904
Chicken virus mg6_1197,2720908
Chicken virus mg7_59,2720911
Chicken virus mg8_324,2720913
Chicken cyclovirus mg4_1122,2720954
Chicken cyclovirus mg5_2967,2720955
Chicken cyclovirus mg7_102,2720956
Chicken genomovirus mg2_75,2720938
Chicken genomovirus mg2_77,2720939
Chicken genomovirus mg4_1107,2720940
Chicken genomovirus mg4_1196,2720943
Chicken genomovirus mg4_1210,2720944
Chicken genomovirus mg4_1259,2720947
Chicken genomovirus mg7_70,2720948
Chicken genomovirus mg7_74,2720950
Chicken genomovirus mg8_416,2720953
Chicken genomovirus mg2_274u,2720937
Chicken smacovirus mg2_55,2720957
Chicken smacovirus mg5_1444,2720963
Chicken smacovirus mg6_1052,2720964
Chicken smacovirus mg7_57,2720965
Chicken smacovirus mg8_345,2720967
Sylvia atricapilla herpesvirus,2717890
Cyanistes caeruleus herpesvirus,2717889
Duck adenovirus,2233537
Budgerigar adenovirus 1,608831
Avipoxvirus Japanese cormorant/Iwakuni/2017,2582417
Avipoxvirus Japanese cormorant/Miyoshi/2017,2582418
Parvovirus AH0225,2712699
RNA virus hoopoe/BBanka01/2015/HUN,2711208
Orthoflavivirus loupingi,3048184
Cyvirus cyprinidallo3,3050271
Chimney swift adenovirus 1,2510842
Pygoscepivirus A,2846013
Duck parvovirus NM4,1962258
Tropical screech owl adenovirus 1,2691032
Smooth billed ani adenovirus 1,2691031
Chicken circovirus 4,2682574
Chicken circovirus 5,2681776
Magpiepox virus,2670734
Murine mastadenovirus B,1146873
Mason Creek virus,2651593
Buffalo Bayou virus,2651592
Bald eagle hepacivirus,2654971
Estrildidae adenovirus 2,2609083
Estrildidae adenovirus 1,2609082
Gouldian finch adenovirus 1,1391178
Brazilian bird anellovirus type 1,2604331
Brazilian bird anellovirus type 2,2604332
Brazilian bird anellovirus type 3,2604333
Chaphamaparvovirus avian1,3059863
Dependoparvovirus avian2,3059966
Norwalk virus,11983
Duck calicivirus 2,2605442
Gull metapneumovirus,2605443
Gull coronavirus,2605444
Duck picornavirus duck/FC22/China/2017,2602416
Red-necked stint avastrovirus,2592512
Red-necked stint gallivirus,2592516
Red-necked stint Picornavirus B-like,2592520
Avian coronavirus MW05,2724194
Sharp-tailed sandpiper Picornavirus B-like,2592521
Red-capped plover megrivirus,2592494
Grey teal calicivirus,2592487
Grey teal parvovirus,2592488
Grey teal picobirnavirus X,2592489
Grey teal picobirnavirus y,2592491
Grey teal picobirnavirus Z,2592490
Australian shelduck avian sapelovirus,2592486
Hepatitis B virus,10407
Pink-eared duck avastrovirus,2592511
Pink-eared duck calicivirus II,2592510
Pink-eared duck calicivirus I,2592509
Pink-eared duck megrivirus,2592493
Pink-eared duck picobirnavirus,2592517
Pink-eared duck picornavirus,2592518
Salmonella phage DaR-2019a,2571168
Salmonella phage DaR-2019b,2571169
Pernambuco virus,2565395
Pernambuco mycovirus 1,2565399
Pernambuco nodavirus,2565391
Ruddy turnstone astrovirus,2565393
Ruddy turnstone calicivirus,2565394
Kedah fatal kidney syndrome virus,2576440
Passerine astrovirus 1,2576226
Passerine astrovirus 2,2576227
Passerine astrovirus 3,2576228
Passerine astrovirus 4,2576229
European roller astrovirus,2565896
Puffin papillomavirus 1,2562557
Duck papillomavirus 3,2562546
Gull papillomavirus 1,2562547
Kittiwake papillomavirus 2,2562551
Gull papillomavirus 2,2562548
Gull papillomavirus 3,2562549
Kittiwake papillomavirus 1,2562550
Kittiwake papillomavirus 3,2562552
Kittiwake papillomavirus 4,2562553
Kittiwake papillomavirus 5,2562554
Kittiwake papillomavirus 6,2562555
Kittiwake papillomavirus 7,2562556
Chicken circovirus SDWF,2518641
Blue tit circovirus,2495901
Kammavanpettai virus,2282480
Bubo bubo herpesvirus,2489502
Avihepatovirus sp.,2212748
Avocet calicivirus,2212749
Avocet megrivirus,2212751
Avocet picornavirus,2212755
Avocet picornavirus B,2212790
Duck calicivirus,2212758
Duck rhabdovirus,2212761
Ruddy turnstone calicivirus A,2212768
Ruddy turnstone calicivirus B,2212769
Ruddy turnstone rotavirus,2212774
Shelduck calicivirus,2212776
Shelduck picobirnavirus I,2212779
Shelduck picobirnavirus II,2212780
Shelduck picobirnavirus III,2212781
Shelduck rhabdovirus,2212784
Etapapillomavirus 1,197771
Dalvirus anatis,2844056
Avipoxvirus clade C,2320697
Hapavirus flanders,1972612
Balagodu virus,2304618
Eagle poxvirus,2304054
Quail deltacoronavirus,2249315
Chicken chapparvovirus 1,2109366
Enterovirus F,1330520
Venezuelan equine encephalitis virus,11036
Hepatitis E virus,291484
Duck parvovirus NM100,1941434
Sparrow deltacoronavirus,2219863
Gyrovirus 10,2218660
Alphachrysovirus shuangaoense,2560765
Culex negev-like virus 3,2010275
RNA virus sp.,2217650
Justusliebigvirus phi92,2956041
Griffon vulture papillomavirus,2219104
Antarctic picorna-like virus,2184269
Falcon coronavirus UAE-HKU27,2078576
Houbara coronavirus UAE-HKU28,2078577
Pigeon coronavirus UAE-HKU29,2078583
Quail coronavirus UAE-HKU30,2078581
Strigid herpesvirus 1,2171489
Pigeon adenovirus FJ2017,2162686
Chicken gallivirus 1,1534550
Phacovirus sp.,2108520
unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,2115844
Cacatuid alphaherpesvirus 1,2115842
Podargid alphaherpesvirus 1,2115843
Circoviridae TaCV1,2094724
Circoviridae TaCV2,2094725
Orthobunyavirus gamboaense,3052393
Neotropic cormorant aviadenovirus,2086357
Neotropic cormorant herpesvirus,2086349
Avisivirus AVE052/AsV,2080834
Crahelivirus A,2734526
Chaphamaparvovirus gruiform1,3059865
Chaphamaparvovirus gruiform2,3059866
Chaphamaparvovirus gruiform3,3059867
Chaphamaparvovirus gruiform4,3059868
Rynchops niger coronavirus,1934038
Anser cygnoides coronavirus,1934040
unidentified adenovirus,10535
Salmonella phage SP1a,2109652
Parechovirus E,2734546
Kestrel picornavirus,1964371
Avipoxvirus 2017,2019388
Avipoxvirus 3864,2019389
Lambdatorquevirus phoci5,3052274
Chicken picornavirus UCC13,1839669
Western equine encephalitis virus,11039
Avastrovirus 1,1239437
Orthonairovirus bushkeyense,3052510
Chicken proventriculitis virus,1566005
Turkey aviadenovirus 2,878330
Orthoflavivirus powassanense,3048287
Dnistrovskyi 408 orbivirus,1930308
Pigeon adenovirus 2a,1924072
Jingmen toti-like virus 1,1923352
Jingmen birna-like virus,1923347
Jingmen picobirna-like virus 1,1923349
Jingmen bunya-like virus 1,1923348
Jingmen ascaridia virus 1,1923346
Avihepevirus egretti,2955389
Spheniscus humboldti poxvirus,1884826
Pigeon adenovirus 2b,1891777
Pigeon adenovirus 3,1891778
Pigeon adenovirus 4,1891779
Pigeon adenovirus 5,1891780
Parechovirus B,1803957
Human mastadenovirus F,130309
Penguin herpesvirus 1,1615847
Poecivirus RBNH-12,1871151
Poecivirus RBNH-929,1871152
Poecivirus NOCR-848,1871150
Poecivirus NOCR-674,1871149
Duck papillomavirus,1867231
unidentified Avipoxvirus,1856564
Gemycircularvirus furse1,2844444
Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,1656227
Penguin herpesvirus 2,1770252
Chicken picornavirus,1819751
Turkey picornavirus,1819752
Phlebovirus arumowotense,2734439
Cape sugarbird pox virus,1692171
Avipoxvirus flamingo/PT-29021/Portugal/2010,1006326
Avipoxvirus chicken/PT-30327/Portugal/2013,1608258
Goose-dominant Coronavirus,1649335
Thalassarchid herpesvirus 1,1770233
Anativirus B,2734519
Phacovirus BY/PhV,1766560
Phacovirus GT/PhV,1766563
Phacovirus TR/PhV,1766566
Phacovirus NG/PhV,1766564
Phacovirus VG/PhV,1766567
Phacovirus CAB/PhV,1766561
Phacovirus DM/PhV,1766562
Avipoxvirus Betim 1,1756707
Astrovirus black-naped monarch/Cambodia/2010,1752874
Bald eagle poxvirus,1740857
Aviadenovirus KLC-2015,1652541
Protoparvovirus Udayana_MDPVA,1711931
Protoparvovirus Udayana_MDPVB,1711932
Akhtuba virus,1539747
Avian coronavirus 9203,2734509
Betacoronavirus 1,694003
Deltacoronavirus B07,1697925
Deltacoronavirus B04,1697926
Picobirnavirus HK-2014,1566334
Astrovirus HK-2014,1566335
Protoparvovirus HK-2014,1566336
Chicken picornavirus HK-2014,1566337
Astrovirus Er/BMTK529/HUN/2011,1671381
Phoenicopterid herpesvirus 1,1643444
Lyssavirus rabies,11292
Sulid herpesvirus 1,1638619
Orthoflavivirus israelense,3048154
Neoavian orthoreovirus,2734342
Astrovirus Pygoscelis/DT/2012,1586002
Avipoxvirus MZ-2014,1569592
Gallid herpesvirus,39566
Aichivirus A,72149
Avipoxvirus 31239,1333866
Avipoxvirus isolate Sevilla,1511774
Chinstrap penguin adenovirus 1,1434087
Chinstrap penguin adenovirus 3,1434089
Chinstrap penguin adenovirus 4,1434090
