Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
278,Fowl aviadenovirus D,190064,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,45063.0,54.0,29.0,False,True,False,False,False,False,True,False
117,Fowl aviadenovirus E,190065,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,43810.0,58.0,37.0,False,True,False,False,False,False,True,False
1422,Etapapillomavirus 1,197771,Zurhausenvirales,Papillomaviridae,Etapapillomavirus,False,True,True,False,True,False,False,7729.0,47.5,6.0,False,False,True,False,False,False,True,False
265,Thetapapillomavirus 1,197772,Zurhausenvirales,Papillomaviridae,Thetapapillomavirus,False,True,True,False,True,False,False,7304.0,49.5,6.0,False,False,True,False,False,True,False,False
1908,Passerid herpesvirus 1,199702,Herpesvirales,Orthoherpesviridae,Iltovirus,True,True,False,False,False,False,False,,,,True,False,False,False,False,False,True,False
1920,Vultur gryphus poxvirus,227305,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1919,Hawaiian goose poxvirus,228177,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1906,Chicken enteric coronavirus,229103,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1192,Psittacid herpesvirus 3,240876,Herpesvirales,,,True,False,True,False,False,False,False,,,,True,True,True,False,False,False,True,False
1916,Avipoxvirus isolate DD1258,263954,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1917,Avipoxvirus isolate APIII,263959,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
105,Adeno-associated virus,272636,Piccovirales,Parvoviridae,Dependoparvovirus,False,False,True,False,True,False,False,4857.0,51.0,2.0,False,True,False,False,True,False,False,False
1914,Vulture herpesvirus,285986,Herpesvirales,Orthoherpesviridae,,True,False,True,False,False,False,False,,,,True,False,False,False,False,False,True,False
1432,Hepatitis E virus,291484,Hepelivirales,Hepeviridae,,False,False,False,True,False,True,False,,,,False,False,True,False,True,False,False,False
328,Turkey siadenovirus A,298333,Rowavirales,Adenoviridae,Siadenovirus,False,False,True,False,False,False,False,,,,False,True,False,False,False,False,True,False
1913,Turkey astrovirus 3,298903,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,,,,False,False,True,True,False,True,False,False
244,Rotavirus D,335100,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,18500.0,33.0,12.0,True,False,False,True,False,False,True,False
172,Turkeypox virus,336486,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,188534.0,30.0,171.0,False,True,False,True,False,False,True,False
508,Chicken astrovirus,336959,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,6927.0,46.5,2.0,False,False,True,True,False,True,False,False
303,Common starling circovirus,349370,Cirlivirales,Circoviridae,Circovirus,False,True,True,False,False,False,False,,,,False,True,False,False,True,False,False,False
315,Duck hepatitis virus 3,352474,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,,,,False,False,True,True,False,True,False,False
1909,Parrot coronavirus AV71/99,352849,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1910,Virginian WCV avipoxvirus,365612,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1915,Avipoxvirus GB,365613,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1903,Avipoxvirus CVL,365620,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1907,Avipoxvirus Peekham,365621,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1899,Corvus corone cornix 2002 orthoreovirus,381199,Reovirales,Spinareoviridae,Orthoreovirus,False,False,True,True,True,False,False,,,,False,False,True,True,True,False,False,False
1634,Small anellovirus,393049,,Anelloviridae,,False,True,False,False,True,False,False,,,,False,True,False,False,False,True,False,False
93,Quailpox virus,400570,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,581.0,33.5,1.0,False,True,False,True,False,False,True,False
1904,Avipoxvirus isolate Vienna,405092,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1902,Avipoxvirus PA153/05,408592,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1911,Aplomado falcon AAV1,416277,Piccovirales,Parvoviridae,Dependoparvovirus,False,False,True,False,True,False,False,,,,False,True,False,False,True,False,False,False
1912,Aplomado falcon AAV2,416278,Piccovirales,Parvoviridae,Dependoparvovirus,False,False,True,False,True,False,False,,,,False,True,False,False,True,False,False,False
1905,Quail coronavirus Italy/Elvia/2005,431320,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1901,Plum headed parakeet adenovirus 1,461346,Rowavirales,Adenoviridae,Siadenovirus,False,False,True,False,False,False,False,,,,False,True,False,False,False,False,True,False
1593,Avipoxvirus isolate Hawaii,462818,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1841,Duck hepatitis virus AP,464094,Picornavirales,Picornaviridae,,False,False,False,True,False,True,False,,,,False,True,False,True,False,True,False,False
1892,Avipoxvirus isolate 1739/2006,468376,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1893,Avipoxvirus isolate 2634/1998,468377,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1895,Avipoxvirus isolate PM33/2007,468378,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
