,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
151,52775,7.0,21.0,4847.74,0.0,0.0,4.0,475164.45,9.0,3,3,111.1245949870538
152,925459,14.0,40.0,3771.99,2.0,7.0,4.0,3528882.19,9.0,3,1,111.12459498763582
153,84829,16.0,43.0,19.44,0.0,5.0,3.0,4816791.26,2.0,2,3,111.1245949868948
154,704177,18.0,69.0,4900.0,1.0,3.0,4.0,190012.59,9.0,3,1,111.12459498684387
155,194921,12.0,28.0,2850.47,1.0,1.0,4.0,,2.0,1,1,111.12459498713284
156,30455,21.0,76.0,611.94,0.0,0.0,1.0,29451058.1,5.0,3,3,111.1245949870212
157,37036,6.0,45.0,952.43,0.0,7.0,2.0,3780207.34,5.0,3,1,111.12459498648806
158,559175,6.0,45.0,118.0,0.0,0.0,2.0,8322361.57,0.0,3,2,111.12459498699609
159,451428,16.0,94.0,65.0,2.0,5.0,3.0,1660503.05,8.0,2,2,111.12459498728671
160,1471025,6.0,45.0,344.0,0.0,0.0,2.0,83704.77,5.0,3,2,111.12459498699609
161,345573,20.0,75.0,730.96,0.0,0.0,1.0,19812770.45,9.0,3,1,111.1245949874224
162,56313,25.0,104.0,403.32,0.0,9.0,3.0,63140525.19,4.0,3,1,111.12459498779366
163,8961,0.0,1.0,3449.86,0.0,9.0,2.0,7679648.03,10.0,1,2,111.12459498679314
164,3150064,7.0,21.0,6067.87,2.0,7.0,4.0,12361408.84,3.0,3,1,111.124594987142
165,188382,17.0,9.0,94.29,0.0,0.0,4.0,8593201.95,9.0,1,3,111.12459498744596
166,176047,22.0,78.0,61.39,1.0,2.0,4.0,1548738.74,10.0,2,1,111.12459498662072
167,48884,16.0,98.0,14.5,1.0,2.0,4.0,8302.07,8.0,2,1,111.1245949877221
168,88112,16.0,3.0,37.31,2.0,7.0,4.0,33005050.82,3.0,3,2,111.12459498663152
169,36255,16.0,37.0,23.19,1.0,7.0,2.0,13666715.85,2.0,1,3,111.12459498742848
170,56267,25.0,92.0,322.61,0.0,9.0,0.0,39874062.36,3.0,3,3,111.12459498783755
171,43163,16.0,96.0,11.44,2.0,5.0,3.0,16659794.83,8.0,3,3,111.12459498699609
172,9044,12.0,68.0,1768.14,1.0,7.0,4.0,889910.58,2.0,1,1,111.12459498636058
173,28711,6.0,5.0,963.99,0.0,0.0,1.0,2199476.8,5.0,3,3,111.12459498645688
174,247529,16.0,33.0,14.8,1.0,2.0,4.0,818060.77,10.0,2,1,111.124594986885
175,60465,22.0,78.0,40.5,1.0,2.0,2.0,14343.6,10.0,2,1,111.12459498672666
176,126713,6.0,45.0,922.78,0.0,7.0,2.0,91633.8,5.0,3,2,111.12459498651415
177,176024,22.0,78.0,480.76,1.0,7.0,3.0,943705.71,2.0,1,1,111.12459498625262
178,8912,6.0,45.0,1649.71,2.0,7.0,4.0,1075355.21,0.0,3,2,111.12459498649314
179,75842,1.0,6.0,359.44,2.0,3.0,1.0,8349222.13,9.0,3,3,111.12459498699609
180,1549141,22.0,78.0,160.0,1.0,7.0,3.0,572089.61,2.0,2,1,111.12459498710491
181,451425,16.0,94.0,48.9,1.0,7.0,3.0,3407257.97,2.0,1,1,111.12459498699609
182,54017,21.0,31.0,2128.84,0.0,0.0,1.0,21606227.43,5.0,3,2,111.12459498691013
183,9238,24.0,90.0,4847.67,0.0,0.0,1.0,148210.8,5.0,3,2,111.12459498733573
184,37083,24.0,90.0,1107.82,0.0,0.0,1.0,365250.03,5.0,3,2,111.12459498708728
185,309866,22.0,78.0,148.78,1.0,2.0,3.0,2920163.54,2.0,1,1,111.12459498688264
186,75834,1.0,6.0,489.97,2.0,3.0,1.0,2991584.7,9.0,3,2,111.12459498659746
187,261967,14.0,83.0,390.39,1.0,7.0,4.0,10850084.73,9.0,2,2,111.12459498668824
188,126356,8.0,23.0,245.41,1.0,2.0,4.0,11847809.42,7.0,3,1,111.12459498650712
189,50249,16.0,89.0,9.8,2.0,7.0,3.0,7299100.07,2.0,1,3,111.12459498723852
190,244070,22.0,78.0,430.0,1.0,7.0,3.0,4747.02,2.0,1,1,111.12459498682722
191,48895,16.0,61.0,11.1,2.0,5.0,3.0,22224877.5,2.0,1,1,111.12459498699609
192,345187,22.0,78.0,31.0,1.0,7.0,3.0,5807185.18,2.0,2,1,111.12459498681535
193,64668,12.0,68.0,535.3,1.0,4.0,4.0,14996056.99,3.0,3,1,111.1245949865576
194,60467,22.0,78.0,39.3,1.0,2.0,4.0,2650780.74,10.0,3,1,111.12459498666948
195,126797,25.0,92.0,168.92,0.0,7.0,3.0,26742298.73,4.0,3,1,111.12459498806057
196,54567,14.0,83.0,235.06,1.0,3.0,4.0,16393196.71,9.0,2,1,111.1245949862323
197,148594,11.0,34.0,152.06,0.0,5.0,2.0,9560575.62,3.0,3,3,111.12459498642671
198,135437,16.0,62.0,24.89,0.0,5.0,3.0,6188045.96,2.0,2,1,111.12459498743377
199,176039,22.0,14.0,328.0,1.0,2.0,4.0,7009675.94,10.0,3,1,111.12459498699609
200,458117,22.0,78.0,232.26,1.0,7.0,3.0,811455.94,2.0,1,1,111.1245949869512
201,50251,16.0,89.0,20.37,0.0,5.0,3.0,22902160.09,2.0,1,1,111.1245949873825
202,228316,16.0,53.0,36.7,0.0,5.0,2.0,5176063.97,10.0,2,1,111.12459498765372
203,43518,0.0,1.0,1071.77,2.0,7.0,2.0,1698401.57,8.0,2,2,111.12459498719328
204,125283,16.0,82.0,34.2,1.0,1.0,3.0,3154277.75,4.0,2,3,111.12459498709435
205,109973,12.0,68.0,5791.37,1.0,7.0,4.0,7259958.92,2.0,2,1,111.1245949865678
206,115121,12.0,68.0,870.08,1.0,2.0,4.0,402889.24,3.0,3,1,111.12459498699609
207,76058,1.0,6.0,2060.93,0.0,0.0,1.0,3321100.72,5.0,3,2,111.1245949865862
208,84780,16.0,43.0,151.21,0.0,7.0,4.0,202767.11,9.0,3,1,111.1245949869116
209,119403,22.0,78.0,130.0,1.0,7.0,3.0,826.21,2.0,1,1,111.12459498681751
210,237657,16.0,24.0,26.3,0.0,5.0,3.0,3387968.7,2.0,1,1,111.12459498716792
211,298326,6.0,45.0,112.44,0.0,0.0,0.0,6602963.98,5.0,3,2,111.12459498651477
212,670346,17.0,9.0,139.0,0.0,0.0,4.0,4733640.24,9.0,1,3,111.12459498729784
213,1209394,22.0,78.0,217.0,1.0,1.0,3.0,131400.34,10.0,2,1,111.1245949868043
214,9033,12.0,68.0,840.82,1.0,7.0,4.0,1030202.68,2.0,1,1,111.1245949866973
215,75862,1.0,6.0,1008.0,1.0,3.0,1.0,8476793.26,9.0,3,2,111.1245949865248
216,9052,12.0,68.0,405.3,1.0,7.0,4.0,10032916.79,3.0,3,1,111.12459498625654
217,160761,16.0,37.0,16.84,2.0,7.0,4.0,3012325.14,10.0,3,2,111.12459498683144
218,9172,16.0,94.0,77.14,2.0,7.0,3.0,17082191.68,4.0,3,2,111.12459498714662
219,8853,1.0,6.0,2811.68,1.0,4.0,4.0,12236810.45,3.0,3,3,111.1245949864956
220,171271,6.0,88.0,129.0,0.0,0.0,4.0,19709237.23,9.0,3,3,111.12459498664656
221,302527,23.0,80.0,256.43,1.0,2.0,4.0,7445557.07,3.0,3,2,111.1245949872957
222,126803,25.0,92.0,1100.0,0.0,9.0,3.0,3283460.59,7.0,2,1,111.12459498799336
223,116996,12.0,28.0,889.99,1.0,1.0,3.0,103251.96,2.0,1,1,111.12459498716888
224,241562,22.0,78.0,235.34,1.0,7.0,3.0,31233.13,2.0,2,1,111.1245949868318
225,28681,6.0,45.0,412.53,0.0,7.0,4.0,17992527.98,0.0,3,3,111.1245949864769
226,36305,25.0,92.0,780.56,0.0,9.0,3.0,,2.0,2,1,111.12459498792722
227,48156,16.0,96.0,12.3,0.0,5.0,3.0,,9.0,3,3,111.12459498733978
228,100819,11.0,34.0,183.21,0.0,9.0,0.0,49037026.09,8.0,3,3,111.1245949864183
229,507961,25.0,92.0,282.19,0.0,5.0,3.0,7695657.77,2.0,2,2,111.12459498805713
230,156563,16.0,61.0,11.1,2.0,5.0,3.0,8753389.8,2.0,1,1,111.12459498699609
231,114087,16.0,26.0,158.29,0.0,7.0,4.0,95191.28,8.0,2,1,111.12459498669224
232,115645,8.0,23.0,440.01,1.0,1.0,3.0,626352.2,2.0,2,2,111.12459498673088
233,33618,17.0,65.0,5608.48,0.0,0.0,1.0,1206894.35,9.0,3,2,111.1245949871983
234,12930,22.0,78.0,451.0,1.0,1.0,3.0,5857429.4,8.0,2,1,111.1245949867289
235,115228,0.0,1.0,759.1,0.0,9.0,3.0,16600070.45,3.0,3,2,111.12459498753137
236,9096,12.0,68.0,1768.33,1.0,7.0,4.0,512906.05,2.0,1,1,111.1245949864746
237,247673,16.0,33.0,9.9,1.0,2.0,4.0,7647838.82,8.0,3,1,111.12459498669008
238,229097,16.0,73.0,14.29,1.0,2.0,4.0,3098334.42,9.0,3,1,111.1245949870264
239,9089,12.0,68.0,555.2,1.0,4.0,4.0,969402.26,2.0,1,1,111.1245949865235
240,343929,16.0,53.0,36.0,0.0,5.0,4.0,9284838.65,10.0,1,1,111.12459498759264
241,458153,6.0,41.0,671.0,0.0,0.0,4.0,73499.48,0.0,3,1,111.12459498740328
242,151766,22.0,78.0,476.94,1.0,7.0,3.0,6626117.83,2.0,2,1,111.12459498674642
243,3149693,16.0,37.0,10.8,1.0,2.0,2.0,3039637.6,8.0,2,1,111.1245949873759
